,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23
West/Winfrey 2020,1500,1493.333333333333,1499.9999999999998,1501.7106482589509,1507.9466563096607,1505.523017876816,1506.310377002235,1495.9689295496878,1490.4155179659297,1494.192211488381,1508.0655012754626,1512.2614861589468,1508.7009391774286,1515.857700173177,1516.0127867935134,1517.5979501965985,1508.3326743848104,1511.668960564145,1501.24376151617,1514.9636644403213,1524.9552160996561,1505.6513751805387,1520.2085550499967,1515.4155592380346
Team Autodraft,1500,1493.333333333333,1496.3227073493908,1507.7733892004749,1505.2585449910534,1495.4300422250526,1504.8921164881854,1515.3281615160531,1520.8815730998115,1526.2358110281411,1538.1935209244748,1538.7206355789688,1530.161949169493,1523.967566039812,1522.211028817226,1527.8922775517365,1527.7060016390712,1524.3697154597367,1531.0236071542074,1536.7303696389422,1544.0112125209,1522.4584323352371,1537.6628241659985,1537.6628241659985
Big Jerry,1500,1506.666666666667,1517.777777777778,1527.1027607275735,1527.570355016162,1537.3988577821628,1542.3127207117313,1547.587797405122,1555.007860836404,1542.4847928117651,1528.6115030246835,1535.3327002763413,1531.1906532319138,1532.0588055159699,1533.815342738556,1526.2616954977848,1525.4055365731833,1538.7043713768353,1546.8228018375821,1533.1028989134304,1538.3967561134607,1538.3967561134607,1522.7788135742228,1539.9874680750838
Guillem's Grand Gang,1500,1506.666666666667,1502.2222222222226,1490.771540371138,1496.6655071492896,1512.1871044956151,1518.0992012541994,1512.8241245608087,1517.4740247218704,1513.6973311994186,1513.1557376112594,1505.7543080553287,1514.3129944648044,1513.723257037366,1515.5449175613705,1511.379596605158,1512.2357555297594,1523.5891484567435,1534.0143475047187,1530.8252174419672,1537.0536256922849,1516.357466611403,1501.1530747806414,1501.1530747806414
not ben not robot,1500,1493.333333333333,1486.6666666666665,1477.341683716871,1471.4477169387194,1466.7181556417954,1457.2560813786624,1456.1437988498385,1446.5907189417035,1432.6843058307156,1424.9937563560293,1420.7977714725448,1424.9398185169723,1425.5295559444107,1425.4588864655334,1419.7776377310227,1413.8246119604178,1425.364093586138,1421.407587181286,1415.6908168825253,1405.6992652231907,1405.6992652231907,1398.8536932840998,1381.7075227081855
Twerk Nohipski,1500,1493.333333333333,1495.5555555555552,1502.6896618505325,1505.2045060599542,1509.9340673568781,1519.6874104020644,1530.0288578546122,1530.4387847125765,1542.9618527372156,1543.503446325375,1537.85133372353,1538.3678800459304,1544.5622631756116,1544.6329326544892,1549.7549037539322,1559.02017956572,1563.9685267479956,1555.8500962872488,1559.0392263500007,1566.1189300960525,1566.1189300960525,1551.5617502265948,1534.3530957257337
The Foretellers,1500,1506.666666666667,1511.111111111111,1512.4384814278424,1504.4475800593598,1506.871218492205,1501.9573555626364,1498.4594669865673,1498.0495401286025,1492.6953022002729,1500.3858516749592,1507.78728123089,1513.0654935678951,1518.5518847113385,1518.396798091002,1525.9504453317734,1529.0961386145843,1524.1477914323084,1517.493899737838,1523.2106700365991,1516.982261786281,1498.5350419719446,1514.1529845111825,1518.9459803231446
The Big Balls Club,1500,1506.666666666667,1503.6772926506092,1496.543186355632,1496.075592067043,1480.5539947207174,1479.7666355952979,1483.264524171367,1492.817604079502,1502.7903009298777,1508.6756702629614,1508.1485556084674,1507.632009286067,1506.7638570020106,1504.942196478006,1503.3570330749212,1500.2113397921094,1488.6718581663893,1480.7018321722635,1469.3599236486546,1462.0790807666967,1462.0790807666967,1448.770429947351,1425.9166005232653
No Wall,1500,1506.666666666667,1495.555555555556,1494.2281852388244,1487.9921771881145,1486.310883708437,1476.5575406632504,1477.6698231920745,1473.019923031013,1463.0472261806372,1451.0895162843035,1444.3683190326458,1439.0901066956405,1431.9333456998922,1437.3020863934696,1432.1801152940266,1438.1331410646314,1426.7797481376474,1434.7497741317734,1429.0430116470386,1423.7491544470083,1423.7491544470083,1437.057805266354,1419.9581724221691
Mike Breen's 'Bang!',1500,1493.333333333333,1491.1111111111109,1489.4004628521598,1497.3913642206423,1499.0726577003202,1493.160560941736,1482.7245159138683,1475.3044524825864,1489.2108655935751,1483.325496260491,1488.9776088623362,1492.5381558438544,1487.051764700411,1481.6830240068334,1485.848344963046,1486.034620875711,1472.735786072059,1476.692292476911,1488.0342010005206,1480.9544972544684,1480.9544972544684,1487.8000691935592,1464.8997020377442
